wwwhealthylifestylepluscom	35	11.36	35	1.0
dinarpolit	34	11.39	34	1.0
ucak	25	11.70	25	1.0
blogttfo	27	11.62	27	1.0
babyfacemonst	25	11.70	25	1.0
tanvier	28	11.58	28	1.0
jacktiv	69	10.68	69	1.0
textsopensourc	278	9.29	278	1.0
textswwiiarch	46	11.09	46	1.0
trendtech	120	10.13	120	1.0
natok	28	11.58	28	1.0
uncletoddtuesdai	27	11.62	27	1.0
getv	33	11.42	33	1.0
reimatch	25	11.70	25	1.0
yourvietnamexpert	416	8.88	414	0.995192307692
questionsnew	264	9.34	262	0.992424242424
uristocrat	366	9.01	363	0.991803278689
gamedayr	209	9.57	207	0.99043062201
pozycjonowani	448	8.81	443	0.988839285714
energii	53	10.95	52	0.981132075472
fictionclass	38	11.28	37	0.973684210526
elektrycznej	37	11.30	36	0.972972972973
optem	130	10.05	126	0.969230769231
seventy2ten	30	11.51	29	0.966666666667
ethnopharmacol	30	11.51	29	0.966666666667
azbluemeani	118	10.14	113	0.957627118644
sellfiretruckscom	46	11.09	44	0.95652173913
integratori	45	11.11	43	0.955555555556
alternetorg	132	10.03	126	0.954545454545
glooc	282	9.27	269	0.95390070922
swrnn	62	10.79	59	0.951612903226
vovworld	40	11.23	38	0.95
clickag	39	11.25	37	0.948717948718
ttfo	35	11.36	33	0.942857142857
finchrees	34	11.39	32	0.941176470588
lovescop	102	10.29	96	0.941176470588
cgrundertow	123	10.10	115	0.934959349593
gottase	75	10.60	70	0.933333333333
dakika	30	11.51	28	0.933333333333
benhayon	44	11.13	41	0.931818181818
stylebeauti	44	11.13	41	0.931818181818
602diggler	29	11.55	27	0.931034482759
grzaki	142	9.96	132	0.929577464789
kmmerc	28	11.58	26	0.928571428571
reklamow	27	11.62	25	0.925925925926
avidon	34	11.39	31	0.911764705882
apsu	87	10.45	79	0.908045977011
livdigit	48	11.04	43	0.895833333333
socool	28	11.58	25	0.892857142857
autowaesch	45	11.11	40	0.888888888889
vov	152	9.89	135	0.888157894737
barclayscent	44	11.13	39	0.886363636364
benzinga	720	8.34	638	0.886111111111
nania	60	10.82	53	0.883333333333
0utlet	31	11.48	27	0.870967741935
nulledapkcom	568	8.57	492	0.866197183099
pakalert	43	11.15	37	0.860465116279
listag	35	11.36	30	0.857142857143
pleaz	56	10.89	48	0.857142857143
statter911com	55	10.91	47	0.854545454545
androidheadlinescom	221	9.52	188	0.850678733032
speedhunt	33	11.42	28	0.848484848485
row80	51	10.98	43	0.843137254902
fashgasm	31	11.48	26	0.838709677419
businesstech	42	11.18	35	0.833333333333
nufc	155	9.87	129	0.832258064516
queerti	370	9.00	307	0.82972972973
eurweb	320	9.15	265	0.828125
stefanelli	75	10.60	62	0.826666666667
vgp	46	11.09	38	0.826086956522
sizegenet	63	10.77	52	0.825396825397
sharmishtha	34	11.39	28	0.823529411765
hostessi	56	10.89	46	0.821428571429
toyologist	44	11.13	36	0.818181818182
s60v5	79	10.55	64	0.810126582278
castronev	115	10.17	92	0.8
mamav	35	11.36	28	0.8
tatwza	40	11.23	32	0.8
postadai	78	10.56	61	0.782051282051
httpwwwcurebumcom	32	11.45	25	0.78125
wusthof	72	10.64	56	0.777777777778
geneablogg	40	11.23	31	0.775
omniauth	40	11.23	31	0.775
identico	60	10.82	46	0.766666666667
eaterwir	33	11.42	25	0.757575757576
yungjohnnybravo	37	11.30	28	0.756756756757
byul	45	11.11	34	0.755555555556
manjarr	40	11.23	30	0.75
bluze	55	10.91	41	0.745454545455
uttranch	98	10.33	73	0.744897959184
baski	66	10.73	49	0.742424242424
hoai	38	11.28	28	0.736842105263
lead2	53	10.95	39	0.735849056604
frogmen	53	10.95	39	0.735849056604
carrierwav	41	11.20	30	0.731707317073
nhan	93	10.38	68	0.731182795699
newslink	51	10.98	37	0.725490196078
jaket	53	10.95	38	0.716981132075
hsk	44	11.13	31	0.704545454545
oncol	125	10.09	88	0.704
safc	60	10.82	42	0.7
testout	132	10.03	92	0.69696969697
orangeberri	88	10.44	61	0.693181818182
cnblue	90	10.42	62	0.688888888889
postaday2012	38	11.28	26	0.684210526316
moviescom	88	10.44	60	0.681818181818
visionkeep	40	11.23	27	0.675
jingit	40	11.23	27	0.675
balita	49	11.02	33	0.673469387755
toucher	63	10.77	42	0.666666666667
siani	51	10.98	34	0.666666666667
